intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""7*""","=""6.2e+05""",C,"=""0.2002811""","=""0.659345""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.7s""","=""3S""","=""1""",,"=""u28""","=""L7412""",
"=""7*""","=""1.86e+06""",C,"=""0.20028670""","=""0.659345""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.7s""","=""3S""","=""1""",,"=""u28""","=""L7412""",
"=""7*""","=""3.12e+06""",C,"=""0.2003080""","=""0.659345""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.7s""","=""3S""","=""1""",,"=""u28""","=""L7412""",
"=""20*""","=""1.30e+07""",B,"=""0.2002811""","=""0.6563810""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.6d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""20*""","=""9.82e+06""",B,"=""0.20028670""","=""0.6563810""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.6d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
"=""20*""","=""1.76e+07""",B,"=""0.20028670""","=""0.6563811""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.6d""","=""3D""","=""2""",,"=""u28""","=""L7412""",
"=""20*""","=""5.89e+06""",B,"=""0.2003080""","=""0.6563811""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D""","=""2""",,"=""u28""","=""L7412""",
"=""20*""","=""2.35e+07""",B,"=""0.2003080""","=""0.6563812""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D""","=""3""",,"=""u28""","=""L7412""",
"=""20*""","=""6.54e+05""",B,"=""0.2003080""","=""0.6563810""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6d""","=""3D""","=""1""",,"=""u28""","=""L7412""",
intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""9*""","=""1.06e+06""",C,"=""0.2002811""","=""0.64846232""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.6s""","=""3S""","=""1""",,"=""u28""","=""L7412""",
"=""9*""","=""3.17e+06""",C,"=""0.20028670""","=""0.64846232""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.6s""","=""3S""","=""1""",,"=""u28""","=""L7412""",
"=""9*""","=""5.3e+06""",C,"=""0.2003080""","=""0.64846232""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.6s""","=""3S""","=""1""",,"=""u28""","=""L7412""",
