"=""40""","=""""",,"=""4.385942""","=""4.688227""","=""2p2""","=""3P""","=""0,1,2""","=""2p.3d""","=""3D*""","=""1,2,3""",,"=""""","=""L1786""",
"=""""","=""5.6361e+06""",AAA,"=""[1.456714822454]""","=""[1.74249897678]""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
"=""20*""","=""5.6361e+06""",AAA,"=""[1.456714822454]""","=""[1.74249797141]""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",,"=""T8636c73""","=""L14925c72""",
"=""20*""","=""5.6361e+06""",AAA,"=""[1.456714822454]""","=""[1.74249788943]""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",,"=""T8636c73""","=""L14925c72""",
"=""0""","=""5.1015e+05""",AAA,"=""[1.51523152456]""","=""[1.797165242627]""","=""1s.2s""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14924""",
"=""1""","=""6.9627e+05""",AAA,"=""[1.51523152456]""","=""[1.794828783560]""","=""1s.2s""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14924""",
"=""""","=""9.8432e+05""",AAA,"=""[1.51523152456]""","=""[1.791563781435]""","=""1s.2s""","=""1S""","=""0""","=""1s.8p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
"=""1""","=""1.4537e+06""",AAA,"=""[1.51523152456]""","=""[1.786804118106]""","=""1s.2s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",,"=""T8636c73""","=""L366""",
"=""2""","=""2.2691e+06""",AAA,"=""[1.51523152456]""","=""[1.779475898906]""","=""1s.2s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,"=""T8636c73""","=""L366""",
"=""""","=""3.9163e+00""",AAA,"=""[1.51523152456]""","=""[1.779347064353]""","=""1s.2s""","=""1S""","=""0""","=""1s.6d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
"=""1*""","=""3.6386e+04""",AAA,"=""[1.540831989759]""","=""[1.797135513097]""","=""1s.2p""","=""3P*""","=""2""","=""1s.10d""","=""3D""","=""1""",,"=""T8636c73""","=""L551""",
"=""1*""","=""3.2745e+05""",AAA,"=""[1.540831989759]""","=""[1.797135502359]""","=""1s.2p""","=""3P*""","=""2""","=""1s.10d""","=""3D""","=""2""",,"=""T8636c73""","=""L551""",
"=""1*""","=""1.3099e+05""",AAA,"=""[1.540831989759]""","=""[1.797135501594]""","=""1s.2p""","=""3P*""","=""2""","=""1s.10d""","=""3D""","=""3""",,"=""T8636c73""","=""L551""",
"=""1*""","=""5.4579e+05""",AAA,"=""[1.540832686199]""","=""[1.797135513097]""","=""1s.2p""","=""3P*""","=""1""","=""1s.10d""","=""3D""","=""1""",,"=""T8636c73""","=""L551""",
"=""1*""","=""9.8235e+05""",AAA,"=""[1.540832686199]""","=""[1.797135502359]""","=""1s.2p""","=""3P*""","=""1""","=""1s.10d""","=""3D""","=""2""",,"=""T8636c73""","=""L551""",
"=""""","=""7.2772e+05""",AAA,"=""[1.540841688744]""","=""[1.797135513097]""","=""1s.2p""","=""3P*""","=""0""","=""1s.10d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
"=""0*""","=""2.6868e+05""",AAA,"=""[1.540831989759]""","=""[1.796519552474]""","=""1s.2p""","=""3P*""","=""2""","=""1s.10s""","=""3S""","=""1""",,"=""T8636c73""","=""L366""",
"=""0*""","=""1.6121e+05""",AAA,"=""[1.540832686199]""","=""[1.796519552474]""","=""1s.2p""","=""3P*""","=""1""","=""1s.10s""","=""3S""","=""1""",,"=""T8636c73""","=""L366""",
"=""""","=""5.3735e+04""",AAA,"=""[1.540841688744]""","=""[1.796519552474]""","=""1s.2p""","=""3P*""","=""0""","=""1s.10s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
"=""1*""","=""5.0298e+04""",AAA,"=""[1.540831989759]""","=""[1.794788099518]""","=""1s.2p""","=""3P*""","=""2""","=""1s.9d""","=""3D""","=""1""",,"=""T8636c73""","=""L551""",
"=""1*""","=""4.5265e+05""",AAA,"=""[1.540831989759]""","=""[1.794788084783]""","=""1s.2p""","=""3P*""","=""2""","=""1s.9d""","=""3D""","=""2""",,"=""T8636c73""","=""L551""",
"=""1*""","=""1.8107e+06""",AAA,"=""[1.540831989759]""","=""[1.794788083738]""","=""1s.2p""","=""3P*""","=""2""","=""1s.9d""","=""3D""","=""3""",,"=""T8636c73""","=""L551""",
"=""1*""","=""7.5448e+05""",AAA,"=""[1.540832686199]""","=""[1.794788099518]""","=""1s.2p""","=""3P*""","=""1""","=""1s.9d""","=""3D""","=""1""",,"=""T8636c73""","=""L551""",
"=""1*""","=""1.3580e+06""",AAA,"=""[1.540832686199]""","=""[1.794788084783]""","=""1s.2p""","=""3P*""","=""1""","=""1s.9d""","=""3D""","=""2""",,"=""T8636c73""","=""L551""",
"=""0""","=""1.0060e+06""",AAA,"=""[1.540841688744]""","=""[1.794788099518]""","=""1s.2p""","=""3P*""","=""0""","=""1s.9d""","=""3D""","=""1""",,"=""T8636c73""","=""L551""",
"=""""","=""3.7358e+05""",AAA,"=""[1.540831989759]""","=""[1.793938425747]""","=""1s.2p""","=""3P*""","=""2""","=""1s.9s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
"=""""","=""2.2415e+05""",AAA,"=""[1.540832686199]""","=""[1.793938425747]""","=""1s.2p""","=""3P*""","=""1""","=""1s.9s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
"=""""","=""7.4716e+04""",AAA,"=""[1.540841688744]""","=""[1.793938425747]""","=""1s.2p""","=""3P*""","=""0""","=""1s.9s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
"=""3""","=""3.8022e+06""",AAA,"=""[1.51523152456]""","=""[1.76733375597]""","=""1s.2s""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""L14925c72""",
"=""""","=""8.2983e+00""",AAA,"=""[1.51523152456]""","=""[1.767113480922]""","=""1s.2s""","=""1S""","=""0""","=""1s.5d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
"=""2*""","=""7.2396e+04""",AAA,"=""[1.540831989759]""","=""[1.791506047392]""","=""1s.2p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""1""",,"=""T8636c73""","=""L366""",
"=""2*""","=""6.5151e+05""",AAA,"=""[1.540831989759]""","=""[1.791506026405]""","=""1s.2p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""2""",,"=""T8636c73""","=""L366""",
"=""2*""","=""2.6063e+06""",AAA,"=""[1.540831989759]""","=""[1.791506024923]""","=""1s.2p""","=""3P*""","=""2""","=""1s.8d""","=""3D""","=""3""",,"=""T8636c73""","=""L366""",
"=""2*""","=""1.0859e+06""",AAA,"=""[1.540832686199]""","=""[1.791506047392]""","=""1s.2p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""1""",,"=""T8636c73""","=""L366""",
"=""2*""","=""1.9546e+06""",AAA,"=""[1.540832686199]""","=""[1.791506026405]""","=""1s.2p""","=""3P*""","=""1""","=""1s.8d""","=""3D""","=""2""",,"=""T8636c73""","=""L366""",
"=""0""","=""1.4479e+06""",AAA,"=""[1.540841688744]""","=""[1.791506047392]""","=""1s.2p""","=""3P*""","=""0""","=""1s.8d""","=""3D""","=""1""",,"=""T8636c73""","=""L366""",
"=""1*""","=""5.4136e+05""",AAA,"=""[1.540831989759]""","=""[1.790287657305]""","=""1s.2p""","=""3P*""","=""2""","=""1s.8s""","=""3S""","=""1""",,"=""T8636c73""","=""L366""",
"=""1*""","=""3.2481e+05""",AAA,"=""[1.540832686199]""","=""[1.790287657305]""","=""1s.2p""","=""3P*""","=""1""","=""1s.8s""","=""3S""","=""1""",,"=""T8636c73""","=""L366""",
"=""0""","=""1.0827e+05""",AAA,"=""[1.540841688744]""","=""[1.790287657305]""","=""1s.2p""","=""3P*""","=""0""","=""1s.8s""","=""3S""","=""1""",,"=""T8636c73""","=""L366""",
"=""3*""","=""1.0980e+05""",AAA,"=""[1.540831989759]""","=""[1.786718358034]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""L14925c72""",
"=""3*""","=""9.8814e+05""",AAA,"=""[1.540831989759]""","=""[1.786718326689]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""2""",,"=""T8636c73""","=""L14925c72""",
"=""3*""","=""3.9529e+06""",AAA,"=""[1.540831989759]""","=""[1.786718324493]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7d""","=""3D""","=""3""",,"=""T8636c73""","=""L14925c72""",
"=""3*""","=""1.6470e+06""",AAA,"=""[1.540832686199]""","=""[1.786718358034]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""L14925c72""",
"=""3*""","=""2.9644e+06""",AAA,"=""[1.540832686199]""","=""[1.786718326689]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",,"=""T8636c73""","=""L14925c72""",
"=""0""","=""2.1961e+06""",AAA,"=""[1.540841688744]""","=""[1.786718358034]""","=""1s.2p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",,"=""T8636c73""","=""L366""",
