intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""9.65e+00""",D,"=""0.00203356""","=""0.53796639""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",E2,"=""T5785""","=""""",
"=""50""","=""3.12e+07""",D+,"=""0.00203356""","=""0.5379409""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""3D*""","=""2""",,"=""T5071""","=""L3521""",
"=""30""","=""3.06e+07""",D+,"=""0.00000000""","=""0.53583896""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.4d""","=""1P*""","=""1""",,"=""T5071""","=""L3521""",
"=""30""","=""1.88e+07""",D,"=""0.00070272""","=""0.53583896""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4d""","=""1P*""","=""1""",,"=""T5071""","=""L3521""",
"=""50""","=""2.61e+07""",D+,"=""0.00203356""","=""0.5366761""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""1F*""","=""3""",,"=""T5071""","=""L3521""",
"=""""","=""1.21e+06""",E,"=""0.00203356""","=""0.53583896""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""1P*""","=""1""",,"=""T5071""","=""""",
"=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""2.65e+07""",D+,"=""0.05739934""","=""0.5723018""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.6d""","=""1F*""","=""3""",,"=""T5071""","=""""",
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""100w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""2.39e+05""",E,"=""0.00070272""","=""0.51489637""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4d""","=""1D*""","=""2""",,"=""T5071""","=""""",
"=""100w""","=""5.83e+06""",D,"=""0.00203356""","=""0.51489637""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.4d""","=""1D*""","=""2""",,"=""T5071""","=""L3521""",
"=""50w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""100w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""50w""","=""6.83e+07""",C,"=""0.05739934""","=""0.56111099""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""3D*""","=""3""",,"=""T5071""","=""L3521""",
"=""""","=""1.04e+06""",E,"=""0.05739934""","=""0.5599541""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""3D*""","=""2""",,"=""T5071""","=""""",
"=""500w""","=""1.15e+08""",C,"=""0.05739934""","=""0.5597297""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""1F*""","=""3""",,"=""T5071""","=""L3521""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
