intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""1.6e+06""",E,"=""0.51113539""","=""0.69169828""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""5/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""6.3e+05""",E,"=""0.50975751""","=""0.68982762""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""1/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""1.5e+06""",E,"=""0.50975751""","=""0.68973149""","=""3s2.3p2.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""100""","=""2.9e+06""",E,"=""0.51340472""","=""0.69275980""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4S*""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
"=""100""","=""2.9e+06""",E,"=""0.51113539""","=""0.68982762""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""1/2""",,"=""T1619CA,LS""","=""L5148""",
"=""100""","=""4.6e+05""",E,"=""0.51113539""","=""0.68973149""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
"=""140""","=""3.4e+06""",E,"=""0.51340472""","=""0.69169828""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""5/2""",,"=""T1619CA,LS""","=""L5148""",
"=""140""","=""1.5e+06""",E,"=""0.51113539""","=""0.68786500""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""5/2""",,"=""T1619CA,LS""","=""L5148""",
"=""""","=""3.2e+06""",E,"=""0.51340472""","=""0.68988020""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""7/2""",,"=""T1619CA,LS""","=""""",
"=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""""","=""1.4e+06""",E,"=""0.51340472""","=""0.68973149""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4P*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""7.5e+05""",E,"=""0.51113539""","=""0.68665350""","=""3s2.3p2.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""5.8e+05""",E,"=""0.51340472""","=""0.68786500""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""5/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""5.7e+04""",E,"=""0.51340472""","=""0.68665350""","=""3s2.3p2.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p2.(3P).5p""","=""4D*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""""","=""1.5e+06""",E,"=""0.52741015""","=""0.70053882""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""2P*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""140""","=""5.8e+06""",E,"=""0.52741015""","=""0.69950936""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""2P*""","=""1/2""",,"=""T1619CA,LS""","=""L5148""",
"=""""","=""3.3e-07""",D,"=""0.0000000""","=""0.1708444""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",E2,"=""T761""","=""""",
"=""""","=""1.08e-01""",C,"=""0.0000000""","=""0.1708444""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""3/2""",M1,"=""T761""","=""""",
"=""""","=""4.26e-02""",C,"=""0.0000000""","=""0.1706139""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",M1,"=""T761""","=""""",
"=""""","=""4.7e-06""",D,"=""0.0000000""","=""0.1706139""","=""3s2.3p3""","=""4S*""","=""3/2""","=""3s2.3p3""","=""2P*""","=""1/2""",E2,"=""T761""","=""""",
"=""180""","=""7.3e+06""",E,"=""0.53012383""","=""0.70053882""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""2P*""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
"=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""""","=""2.7e+06""",E,"=""0.53012383""","=""0.69950936""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""2P*""","=""1/2""",,"=""T1619CA,LS""","=""""",
"=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""140""","=""3.8e+06""",E,"=""0.52741015""","=""0.69431440""","=""3s2.3p2.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p2.(3P).5p""","=""2D*""","=""3/2""",,"=""T1619CA,LS""","=""L5148""",
"=""180""","=""5.7e+06""",E,"=""0.53012383""","=""0.69643788""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""2D*""","=""5/2""",,"=""T1619CA,LS""","=""L5148""",
"=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""""","=""6.6e+05""",E,"=""0.53012383""","=""0.69431440""","=""3s2.3p2.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p2.(3P).5p""","=""2D*""","=""3/2""",,"=""T1619CA,LS""","=""""",
"=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""180""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""140""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""100""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L5148""",
"=""""","=""4.5e+06""",E,"=""0.58539423""","=""0.7219017""","=""3s2.3p2.(3P).4p""","=""2S*""","=""1/2""","=""3s2.3p2.(3P).5d""","=""2P""","=""1/2""",,"=""T1619CA,LS""","=""""",
